"","minpts","eps","eps2","id","f_measure"
"275",25,3.25,60,"AB_2",0
"276",30,3.25,60,"AB_2",0
"277",5,4,60,"AB_2",0.399505256648114
"278",10,4,60,"AB_2",0.415620641562064
"279",15,4,60,"AB_2",0.347663551401869
"280",20,4,60,"AB_2",0
"281",25,4,60,"AB_2",0
"282",30,4,60,"AB_2",0
"283",5,4.75,60,"AB_2",0.407894736842105
"284",10,4.75,60,"AB_2",0.501170960187354
"285",15,4.75,60,"AB_2",0.376666666666667
"286",20,4.75,60,"AB_2",0.0865800865800866
"287",25,4.75,60,"AB_2",0
"288",30,4.75,60,"AB_2",0
"289",5,1,90,"AB_2",0.208
"290",10,1,90,"AB_2",0.0442477876106195
"291",15,1,90,"AB_2",0
"292",20,1,90,"AB_2",0
"293",25,1,90,"AB_2",0
"294",30,1,90,"AB_2",0
"295",5,1.75,90,"AB_2",0.408955223880597
"296",10,1.75,90,"AB_2",0.103004291845494
"297",15,1.75,90,"AB_2",0
"298",20,1.75,90,"AB_2",0
"299",25,1.75,90,"AB_2",0
"300",30,1.75,90,"AB_2",0
"301",5,2.5,90,"AB_2",0.418859649122807
"302",10,2.5,90,"AB_2",0.303939962476548
"303",15,2.5,90,"AB_2",0.0656455142231947
"304",20,2.5,90,"AB_2",0
"305",25,2.5,90,"AB_2",0
"306",30,2.5,90,"AB_2",0
"307",5,3.25,90,"AB_2",0.412181303116147
"308",10,3.25,90,"AB_2",0.394736842105263
"309",15,3.25,90,"AB_2",0.0740740740740741
"310",20,3.25,90,"AB_2",0
"311",25,3.25,90,"AB_2",0
"312",30,3.25,90,"AB_2",0
"313",5,4,90,"AB_2",0.399505256648114
"314",10,4,90,"AB_2",0.417827298050139
"315",15,4,90,"AB_2",0.356877323420074
"316",20,4,90,"AB_2",0
"317",25,4,90,"AB_2",0
"318",30,4,90,"AB_2",0
"319",5,4.75,90,"AB_2",0.407894736842105
"320",10,4.75,90,"AB_2",0.504672897196262
"321",15,4.75,90,"AB_2",0.384742951907131
"322",20,4.75,90,"AB_2",0.0948275862068965
"323",25,4.75,90,"AB_2",0
"324",30,4.75,90,"AB_2",0
"325",5,1,120,"AB_2",0.225742574257426
"326",10,1,120,"AB_2",0.0442477876106195
"327",15,1,120,"AB_2",0
"328",20,1,120,"AB_2",0
"329",25,1,120,"AB_2",0
"330",30,1,120,"AB_2",0
"331",5,1.75,120,"AB_2",0.420740740740741
"332",10,1.75,120,"AB_2",0.103004291845494
"333",15,1.75,120,"AB_2",0
"334",20,1.75,120,"AB_2",0
"335",25,1.75,120,"AB_2",0
"336",30,1.75,120,"AB_2",0
"337",5,2.5,120,"AB_2",0.427480916030534
"338",10,2.5,120,"AB_2",0.303939962476548
"339",15,2.5,120,"AB_2",0.0656455142231947
"340",20,2.5,120,"AB_2",0
"341",25,2.5,120,"AB_2",0
"342",30,2.5,120,"AB_2",0
"343",5,3.25,120,"AB_2",0.413305024769993
"344",10,3.25,120,"AB_2",0.394736842105263
"345",15,3.25,120,"AB_2",0.0740740740740741
"346",20,3.25,120,"AB_2",0
"347",25,3.25,120,"AB_2",0
"348",30,3.25,120,"AB_2",0
"349",5,4,120,"AB_2",0.400494437577256
"350",10,4,120,"AB_2",0.417827298050139
"351",15,4,120,"AB_2",0.356877323420074
"352",20,4,120,"AB_2",0
"353",25,4,120,"AB_2",0
"354",30,4,120,"AB_2",0
"355",5,4.75,120,"AB_2",0.407894736842105
"356",10,4.75,120,"AB_2",0.518518518518518
